Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2012-05-18,15.877148628234863,10.692500114440918,14.901862144470215,37.93232727050781,23.12270164489746,0.276868999004364,1.8373329639434814
2012-05-21,16.802156448364258,10.905500411987305,15.242142677307129,33.76502990722656,23.501895904541016,0.28168216347694397,1.9179999828338623
2012-05-22,16.67313575744629,10.766500473022461,14.911787986755371,30.758623123168945,23.509790420532227,0.27824416756629944,2.053333044052124
2012-05-23,17.0799560546875,10.86400032043457,15.126729011535645,31.750835418701172,22.99630355834961,0.28512001037597656,2.068000078201294
2012-05-24,16.9231014251709,10.76200008392334,14.98277473449707,32.7728157043457,22.96470832824707,0.2775566279888153,2.018666982650757
2012-05-25,16.832393646240234,10.644499778747559,14.681708335876465,31.661537170410156,22.956806182861328,0.28420326113700867,1.987333059310913
2012-05-29,17.131147384643555,10.737500190734863,14.75145149230957,28.615440368652344,23.351804733276367,0.2915375828742981,2.1126670837402344
2012-05-30,17.337703704833984,10.46150016784668,14.599803924560547,27.970502853393555,23.17800521850586,0.2880996763706207,2.0273330211639404
2012-05-31,17.294599533081055,10.645500183105469,14.416879653930664,29.369524002075195,23.059497833251953,0.2848908603191376,1.9666670560836792
2012-06-01,16.793466567993164,10.41100025177002,14.171658515930176,27.504161834716797,22.474925994873047,0.27457693219184875,1.8766670227050781
2012-06-04,16.892263412475586,10.728500366210938,14.360539436340332,26.69054412841797,22.553909301757812,0.2688470482826233,1.858667016029358
2012-06-05,16.848556518554688,10.660499572753906,14.157512664794922,25.66856575012207,22.52232551574707,0.27663981914520264,1.8606669902801514
2012-06-06,17.106904983520508,10.881999969482422,14.409683227539062,26.60124969482422,23.185901641845703,0.28397417068481445,1.9479999542236328
2012-06-07,17.11468505859375,10.9399995803833,14.351602554321289,26.10513687133789,23.09110450744629,0.27251431345939636,1.9286669492721558
2012-06-08,17.372121810913086,10.923999786376953,14.406704902648926,26.88899040222168,23.422903060913086,0.2777858078479767,2.0053329467773438
2012-06-11,17.09821891784668,10.824999809265137,14.110107421875,26.79969024658203,22.830411911010742,0.2809945046901703,1.9413330554962158
2012-06-12,17.24759292602539,10.821000099182129,14.025718688964844,27.1866512298584,23.138504028320312,0.2867245376110077,1.9773329496383667
2012-06-13,17.12786102294922,10.736499786376953,13.926193237304688,27.057666778564453,23.012109756469727,0.27916091680526733,1.9846669435501099
2012-06-14,17.108993530273438,10.72249984741211,13.875557899475098,28.06972312927246,23.17800521850586,0.27572301030158997,1.9593329429626465
2012-06-15,17.18682289123535,10.917499542236328,14.011075973510742,29.77633285522461,23.71518898010254,0.28168216347694397,1.99399995803833
2012-06-18,17.535573959350586,11.133000373840332,14.16843318939209,31.165430068969727,23.5729923248291,0.28420326113700867,2.122667074203491
2012-06-19,17.584365844726562,11.201499938964844,14.433510780334473,31.661537170410156,24.252378463745117,0.30345577001571655,2.1393330097198486
2012-06-20,17.53437042236328,11.151000022888184,14.333733558654785,31.35395050048828,24.434070587158203,0.3082689046859741,2.252000093460083
2012-06-21,17.292800903320312,11.028499603271484,14.028450012207031,31.592082977294922,23.809986114501953,0.29428786039352417,2.1459999084472656
2012-06-22,17.425416946411133,11.107999801635742,14.18406867980957,32.79266357421875,24.252378463745117,0.2979550361633301,2.25266695022583
2012-06-25,17.086246490478516,11.003499984741211,13.916511535644531,31.81037139892578,23.596698760986328,0.2885579466819763,2.2073330879211426
2012-06-26,17.123964309692383,11.280500411987305,14.015295028686523,32.84226608276367,23.71518898010254,0.29176682233810425,2.107332944869995
2012-06-27,17.197893142700195,11.281000137329102,14.129963874816895,31.97904396057129,23.833690643310547,0.30116385221481323,2.130666971206665
2012-06-28,17.03475570678711,11.065500259399414,14.006113052368164,31.115819931030273,23.628292083740234,0.30345577001571655,2.0940001010894775
2012-06-29,17.482290267944336,11.417499542236328,14.397273063659668,30.857845306396484,24.165475845336914,0.31674906611442566,2.0859999656677246
2012-07-02,17.73733901977539,11.465999603271484,14.407200813293457,30.530412673950195,24.14177703857422,0.3082689046859741,2.0266671180725098
2012-07-03,17.943592071533203,11.476499557495117,14.589874267578125,30.95706558227539,24.299774169921875,0.3162907361984253,2.0439999103546143
2012-07-05,18.25881004333496,11.352999687194824,14.790670394897461,31.22496223449707,24.252378463745117,0.31308209896087646,2.0820000171661377
2012-07-06,18.137269973754883,11.2524995803833,14.54395866394043,31.482938766479492,23.8494930267334,0.30712294578552246,2.065999984741211
2012-07-09,18.377065658569336,11.2524995803833,14.544705390930176,31.919511795043945,23.699386596679688,0.3029974102973938,2.0993330478668213
2012-07-10,18.20702362060547,10.975000381469727,14.437729835510254,31.22496223449707,23.49399185180664,0.2938295304775238,2.0846669673919678
2012-07-11,18.0938663482666,10.918499946594238,14.176871299743652,30.72885513305664,23.14640235900879,0.28901639580726624,2.1006669998168945
2012-07-12,17.928335189819336,10.767999649047852,14.159248352050781,30.570100784301758,22.617115020751953,0.28420326113700867,2.180000066757202
2012-07-13,18.11003875732422,10.919500350952148,14.309162139892578,30.480802536010742,23.21750831604004,0.2878703474998474,2.2833330631256104
2012-07-16,18.168106079101562,10.80049991607666,14.269452095031738,28.0300350189209,23.256996154785156,0.28878724575042725,2.3973329067230225
2012-07-17,18.16900634765625,10.846500396728516,14.314376831054688,27.87128257751465,23.430803298950195,0.2835157513618469,2.2233328819274902
2012-07-18,18.148649215698242,10.873499870300293,14.414398193359375,28.883338928222656,24.05488395690918,0.29933032393455505,2.1433329582214355
2012-07-19,18.38993263244629,11.308500289916992,14.719683647155762,28.77419662475586,24.228679656982422,0.3023098111152649,2.1513330936431885
2012-07-20,18.089981079101562,11.41450023651123,15.16048526763916,28.53606605529785,23.794189453125,0.29360029101371765,2.119333028793335
2012-07-23,18.075902938842773,11.30049991607666,15.27688980102539,28.526142120361328,23.130603790283203,0.29749664664268494,2.0439999103546143
2012-07-24,17.988794326782227,11.152000427246094,15.07982063293457,28.228479385375977,23.027908325195312,0.29428786039352417,1.9893330335617065
2012-07-25,17.211973190307617,10.852499961853027,15.09024429321289,29.111549377441406,22.775114059448242,0.3000178337097168,1.9299999475479126
2012-07-26,17.209274291992188,11.000499725341797,15.223527908325195,26.64093780517578,23.035802841186523,0.30139297246932983,1.8753329515457153
2012-07-27,17.51701545715332,11.866000175476074,15.759635925292969,23.525386810302734,23.509790420532227,0.30895644426345825,1.9673329591751099
2012-07-30,17.81247901916504,11.804499626159668,15.693614959716797,22.969743728637695,23.41499900817871,0.30551856756210327,1.8233330249786377
2012-07-31,18.283355712890625,11.664999961853027,15.710244178771973,21.540956497192383,23.280696868896484,0.31033164262771606,1.8279999494552612
2012-08-01,18.165111541748047,11.604499816894531,15.703048706054688,20.71742057800293,23.233308792114258,0.30689382553100586,1.75
2012-08-02,18.194454193115234,11.540499687194824,15.60550594329834,19.883960723876953,23.059497833251953,0.30803975462913513,1.7400000095367432
2012-08-03,18.431241989135742,11.748499870300293,15.917738914489746,20.925785064697266,23.501895904541016,0.3144572377204895,1.8179999589920044
