Date,VT
2012-05-18,31.684307098388672
2012-05-21,32.27676010131836
2012-05-22,32.21824264526367
2012-05-23,32.10852813720703
2012-05-24,32.013458251953125
2012-05-25,31.9476261138916
2012-05-29,32.386470794677734
2012-05-30,31.75014305114746
2012-05-31,31.77208709716797
2012-06-01,31.047996520996094
2012-06-04,31.128437042236328
2012-06-05,31.28938102722168
2012-06-06,32.145111083984375
2012-06-07,32.145111083984375
2012-06-08,32.188987731933594
2012-06-11,31.77208709716797
2012-06-12,32.24018859863281
2012-06-13,31.97687530517578
2012-06-14,32.20362091064453
2012-06-15,32.60589599609375
2012-06-18,32.6351318359375
2012-06-19,33.10325241088867
2012-06-20,33.15442657470703
2012-06-21,32.291385650634766
2012-06-22,32.59857940673828
2012-06-25,31.954938888549805
2012-06-26,32.13778305053711
2012-06-27,32.452293395996094
2012-06-28,32.35721969604492
2012-06-29,33.40311813354492
2012-07-02,33.5274543762207
2012-07-03,33.885833740234375
2012-07-05,33.564022064208984
2012-07-06,33.19833755493164
2012-07-09,33.11054992675781
2012-07-10,32.84722137451172
2012-07-11,32.91306686401367
2012-07-12,32.58394241333008
2012-07-13,33.10325241088867
2012-07-16,33.09592819213867
2012-07-17,33.300716400146484
2012-07-18,33.47624969482422
2012-07-19,33.68104934692383
2012-07-20,33.19833755493164
2012-07-23,32.73021697998047
2012-07-24,32.36451721191406
2012-07-25,32.47423553466797
2012-07-26,33.17637634277344
2012-07-27,33.84925842285156
2012-07-30,33.76881790161133
2012-07-31,33.644466400146484
2012-08-01,33.542083740234375
2012-08-02,33.205631256103516
2012-08-03,34.0394287109375
2012-08-06,34.2076416015625
2012-08-07,34.44902038574219
2012-08-08,34.41977310180664
2012-08-09,34.49290466308594
2012-08-10,34.558719635009766
2012-08-13,34.478267669677734
2012-08-14,34.49290466308594
2012-08-15,34.51484680175781
2012-08-16,34.858604431152344
2012-08-17,34.88785171508789
2012-08-20,34.843971252441406
2012-08-21,34.851295471191406
2012-08-22,34.822025299072266
2012-08-23,34.58797836303711
2012-08-24,34.64649963378906
2012-08-27,34.63186264038086
2012-08-28,34.63917541503906
2012-08-29,34.58066177368164
2012-08-30,34.23690414428711
2012-08-31,34.478267669677734
2012-09-04,34.441707611083984
2012-09-05,34.39052200317383
2012-09-06,35.180416107177734
2012-09-07,35.51687240600586
2012-09-10,35.26087188720703
2012-09-11,35.480281829833984
2012-09-12,35.62656021118164
2012-09-13,36.24825668334961
2012-09-14,36.52619934082031
2012-09-17,36.343353271484375
2012-09-18,36.22630310058594
2012-09-19,36.29946517944336
2012-09-20,36.11661911010742
2012-09-21,36.11661911010742
2012-09-24,36.03075408935547
