Date,^NDX
2000-04-03,4077.02001953125
2000-04-04,4034.169921875
2000-04-05,4030.260009765625
2000-04-06,4086.72998046875
2000-04-07,4291.52978515625
2000-04-10,3998.260009765625
2000-04-11,3909.2099609375
2000-04-12,3633.6298828125
2000-04-13,3553.81005859375
2000-04-14,3207.9599609375
2000-04-17,3529.449951171875
2000-04-18,3715.81005859375
2000-04-19,3583.070068359375
2000-04-20,3505.2900390625
2000-04-24,3353.530029296875
2000-04-25,3621.56005859375
2000-04-26,3505.7099609375
2000-04-27,3692.570068359375
2000-04-28,3773.179931640625
2000-05-01,3829.840087890625
2000-05-02,3627.31005859375
2000-05-03,3562.159912109375
2000-05-04,3570.72998046875
2000-05-05,3688.360107421875
2000-05-08,3521.60009765625
2000-05-09,3445.260009765625
2000-05-10,3244.72998046875
2000-05-11,3381.570068359375
2000-05-12,3406.25
2000-05-15,3512.110107421875
2000-05-16,3646.889892578125
2000-05-17,3550.5
2000-05-18,3426.35009765625
2000-05-19,3260.639892578125
2000-05-22,3264.7099609375
2000-05-23,3023.419921875
2000-05-24,3180.31005859375
2000-05-25,3099.280029296875
2000-05-26,3101.43994140625
2000-05-30,3414.030029296875
2000-05-31,3324.080078125
2000-06-01,3518.97998046875
2000-06-02,3755.669921875
2000-06-05,3730.31005859375
2000-06-06,3646.320068359375
2000-06-07,3736.010009765625
2000-06-08,3707.31005859375
2000-06-09,3760.260009765625
2000-06-12,3638.419921875
2000-06-13,3765.81005859375
2000-06-14,3677.489990234375
2000-06-15,3752.010009765625
2000-06-16,3787.360107421875
2000-06-19,3933.699951171875
2000-06-20,3933.830078125
2000-06-21,3970.0
2000-06-22,3804.110107421875
2000-06-23,3685.300048828125
2000-06-26,3771.449951171875
2000-06-27,3699.0
2000-06-28,3771.06005859375
2000-06-29,3665.830078125
2000-06-30,3763.7900390625
2000-07-03,3804.780029296875
2000-07-05,3649.800048828125
2000-07-06,3793.47998046875
2000-07-07,3841.27001953125
2000-07-10,3772.199951171875
2000-07-11,3744.530029296875
2000-07-12,3901.1201171875
2000-07-13,3956.669921875
2000-07-14,4041.14990234375
2000-07-17,4061.8798828125
2000-07-18,3960.9599609375
2000-07-19,3843.97998046875
2000-07-20,3995.4599609375
2000-07-21,3908.75
2000-07-24,3790.6201171875
2000-07-25,3865.389892578125
2000-07-26,3818.31005859375
